wallet_address,3LH7pDMG6maRkpHfQdN6hV36D6geFckDp7vTNDYTpump,5E8ifewWjdGPDCRdmvbua3YvV1QzjiZs63qJYwuFpump,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,8sxdRtLdtaYdHis1VSkCJoZUNVZXiaEKEUomzPRTpump,A4GoNqSZTvX4sSnRE1wFjEkemWm8jmbHhLgyCBAkpump,BPuNpj7eqg8R2z8jGxJqWZqxqoVritGsFpHTsNLHpump,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5
2Pg8ds43x8DuHtua5YJ9bPTdfhmxmw3wA7v4iST4VGa8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2PvonaFbMWCbaqb2x7n6fUo1F9FFTNFbtxvQJsuCrmhi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2Q55Wk1EXuciTp8Lam1v3A34TWb1QhaEoKZwZ8cppjb7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2QMPtopMDBFq3aiJg1XV8Pn7hr6Ru4jep2HmgJ2fHAes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2QTobx7t27SG7KLmC5s7kP7uTCwMXHk5LTuXWqDvQJ5Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2QVuH2xDQpncis95vrmdDwS6PxPekg5ecJVT5yvs3xmx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2QWbPZX8Zj5CSmvby82eyvTNFVniv2vfzVcwR2Ud8ksc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2QcWCo1CDVi2LrW88DfWxZ6yB9BPAuJeLDbN1hwULisA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2QhdKMC32FgftbJFMYRq6VWnVpKAYnjjiu7BE52deshK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2REPVdpnzHcB8nhZfByi64WKMD6mdV44TdViQfNHKAWR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
